published_time,title,text,time,location,height
"December 15, 2020",Search for man missing after an accident,"A search team comprising of police, Desuups and volunteers are still searching for a man along the Gamcrichhu in Trashigang. The accident happened yesterday afternoon.The truck veered off the road and fell around 150 meters below the road at Reju. Reju is about five kilometres away from Trashigang towards Rangjung. The accident happened at around 12:45 pm yesterday. The truck was heading towards Rangjung from Dramedtse in Monggar.However, the cause of the accident is under investigation.Sonam Darjay","['yesterday afternoon', 'around 12:45 pm']", Reju,kilo
"June 15, 2012",A man dies in an accident,"A 37-year-old man died in an accident which took place above Narphung, about 65 kilometres from Samdrup Jongkhar, yesterday. He was driving a recovery van towards Wamrong, when the vehicle veered off road and fell below the road. The deceased is from Ngatshang Gewog in Monggar. The lone passenger escaped with minor injuries.The cause of the accident is yet to be determined.",[],shang Gewog in Monggar,kilo
"June 19, 2012","A man dies, another missing in two separate accidents","A 37-year-old man died on the spot in an accident in Ganglakha, about 32 kilometres from Phuentsholing towards Thimphu. The fuel tanker he was driving went off road and fell 120 meters below the road at around 7:30 this morning. The deceased is from Trashigang.The 19-year-old handy boy suffered head injury and fractures. He has been referred to the National Referral Hospital in Thimphu.According to sources, the tanker was carrying diesel and was on its way to Gedu.In another accident, an ambulance said to have gone off road at Chazam in Trashigang last night, is yet to be found. The police said the accident took place between 9:30 and 9:45 pm.More than 40 people from the Dzongkhag, police, and health sector have been dispatched along the Dangmi Chu in search of the missing driver and the ambulance.The driver was returning from Samdrup Jongkhar.","['around 7:30', 'last night', 'between 9:30 and 9:45 pm']", around 7:30 this morning,kilo
"January 29, 2021",Man dies in accident,,[],no location info,no metre height
"February 1, 2021",Motor vehicle accident claims a life,A motor vehicle accident claimed the life of a 36-year-old man in Monggar yesterday. The deceased is suspected to have lost control of the truck he was driving and plunged almost a hundred metres below the road at Yuldari under Kengkhar Gewog in Monggar at around 10:30 last evening.He passed away on the way to the Eastern Regional Referral Hospital in Monggar.The deceased was alone in the truck and was on his way to deliver ration supplies from the FCB depot in Monggar to the Schools in Kengkhar and Jurmed Gewogs. The body was handed over to the deceased’s family this morning.Sonam Tshering,"['around 10:30 last evening', 'this morning']", Yuldari under Kengkhar Gewog in Monggar ,hundred
"February 2, 2021","Motor vehicle accident claims a life, Monggar","A driver lost his life in a motor vehicle accident in Monggar today afternoon. The 53-year-old driver died on the spot after his Eicher DCM veered off the newly constructed farm road at Shiling under Shermuhoong Gewog in Monggar.There were 12 passengers including the driver when the mishap occurred. Of which six passengers are students, four parents and a teacher. They were returning to Shermuhhong Lower Secondary School after their break. A boy escaped unhurt while ten other passengers have been referred to the Eastern Regional Referral Hospital in Monggar this afternoon. Three of them are said to be in critical condition.The deceased was travelling from Shiling village to the gewog centre during the time of the incident. The cause of the accident is suspected to be a loss of control while driving on the curved road.Sonam Tshering","['afternoon', 'this afternoon']", Shiling under Shermuhoong Gewog in Monggar,no metre height
"July 2, 2012",Man killed in accident,"A 55-year-old Indian labour, died on the spot when the Mahindra jeep they were travelling in, went off road at Yongphula Zero Point in Kanglung. The accident occurred at around 2:15 pm today. The driver and the four other passengers escaped with minor injuries.They were on their way to Thrimshing from Trashigang. The cause of the accident is yet to be determined.",['around 2:15 pm'], Yongphula Zero Point in Kanglung,no metre height
"July 6, 2012",Ramjar Gup killed in accident,"Fifty one years old Ramjar Gup of Trashiyangtse died on the spot when the Alto car he was driving, went off road at Mugthangkhar, along the Trashigang-Trashiyangtse highway. The accident occurred at 3 pm today.The two passengers in the vehicle escaped with minor injuries. They were on their way back to Ramjar from Trashigang.The cause of the accident is still under investigation.",['3 pm today']," Mugthangkhar, along the Trashigang-Trashiyangtse highway",no metre height
"July 8, 2012",Accident kills two in Haa,"A Professor from Thailand and an employee of Agriculture Machinery Center  died in a vehicle accident yesterday. They were travelling to Thimphu from Haa when the vehicle veered off road and fell some 200 feet below the road.  The incident occurred at around 3 pm at Jabana, some 55 kilometers from Chuzom towards Haa.There were six people in the vehicle including four Thai nationals. The Thai nationals were the officials guests of the Agriculture Machinery Center in Paro.  The four passengers are being treated at hospital in Haa. The cause of the accident is not known.",['around 3 pm'], around 3 pm ,known.
"May 31, 2021","Motor vehicle accident claims a life, Monggar","A 36-year-old man died on the way to Monggar Regional Referral Hospital after he was involved in a motor vehicle accident yesterday.According to sources, the tipper truck he was driving veered off the road and fell over a hundred metres at Chubar under Tsakaling Gewog in Monggar. The incident occurred around midday yesterday. A passenger in the truck escaped unhurt. The deceased was ferrying base course materials from the gewog to a nearby place during the time of the incident.The narrow and slippery road is suspected to have caused the mishap. The deceased was working with a construction company. The body was handed over to the deceased’s sister.Sonam Tshering",['midday'], Chubar under Tsakaling Gewog in Monggar,hundred
"July 13, 2021","Motor vehicle accident claims a life, Monggar","A 12-year-old girl student died on the spot when the Alto car she was travelling in veered off the road and fell almost 500 meters below the road on Saturday in Monggar. The driver (33) is still in critical condition at the Monggar Regional Referral Hospital.The accident occurred at around 3.50 pm at Gampoktor in Balam Gewog of Monggar.During the time of the incident, the driver who is working as a School Administrative Officer in one of the schools in Monggar went along with the deceased to do shopping at Sherizampa, which is located at the junction of Balam and Shermuhoong Gewog. Police suspect human error/unlicensed driving as the cause of the accident.Sonam Tshering, MonggarEdited by Sonam",['3.50 pm'],urday in Monggar,Sonam
"December 9, 2021",Accident claims two lives- S/Jongkhar,"A motor vehicle accident claimed the lives of two men in their early 50s yesterday. A source said the vehicle veered off the road and fell more than 200 metres at Arong in Samdrup Jongkhar at about 5:30 pm. Arong is about 30 kilometres from Samdrup Jongkhar along the Trashigang-Samdrup Jongkhar highway.There were four people in the car during the mishap. However, two of them escaped with minor injuries. They are being treated at the Samdrup Jongkhar Hospital and are in stable condition. Meanwhile, officials have handed over the bodies to the families.Kinley Wangchuk, Samdrup JongkharEdited by Sonam",['about 5:30 pm'], Arong in Samdrup Jongkhar ,200
"January 28, 2022",Increasing accidents worry residents in Monggar,"The frequent motor vehicle accidents along the road between Jarukhasor and the workshop area in Monggar town have worried the residents living nearby. The number of vehicles using the road increased after the highway at Trailing was closed down about two months ago. The residents are hoping the Dzongkhag administration intervenes soon.This truck ferrying grocery items from Nganglam to Monggar town lost control and toppled over near the workshop area on Saturday. The driver was able to escape unhurt. About five vehicles have toppled over on this road since it became the only way to enter Monggar town.The highway at Trailing has been shut since December of last year after a portion of the highway eroded. Since then people driving towards Monggar town have had to use this road.The residents living near the road say they are concerned for their safety.“It’s dangerous especially at night when everyone is sleeping inside. I wanted to find a new apartment but finding a home is difficult in Monggar town,” said Sonam Norbu, a resident.“One of the neighbours who live right next to the road goes to a friend’s place to sleep at night. I also do the same thing sometimes,” said Dorji Tenzin, another resident.“The officials need to either speed up the work at the highway or widen the road here,” said Meto Seldon.“A truck fell below the road once but luckily it didn’t land on my home. I am still worried,” said Sonam Choden.The road is quite narrow and steep with sharp turning making it risky especially for heavy vehicles such as trucks carrying goods.“The contractor has been working hard but we don’t see much work progress so far. The highway has been closed for about three months now,” said Cheten, a trucker.According to the Dzongkhag Engineers, the works to construct a retention wall at the Trailing highway took more time due to a dispute with the contractor. However, they said the highway is likely to be opened for light vehicles by the end of this month.Meanwhile, there are no plans to carry out any maintenance works on the road between Jarukhasor and the workshop area which is currently being blacktopped.Sonam Tshering, Monggar","['night', 'night']", Trailing was closed down about two months ago,no metre height
"February 14, 2022",Increasing vehicle accidents between Trailing and Jarung Khashor Chorten worries residents- Monggar,"The increasing number of vehicle accidents along the road between Trailing and Jarung Khashor Chorten in Monggar has become a cause of worry for the residents. On Sunday evening, a Jumbo truck lost control and fell off the road and partially damaged a two-storied house. The residents are hoping for the Dzongkhag Administration to intervene soon. The stretch of the road recorded about ten accidents since last year.At 10 pm on Sunday, a truck toppled on the roof of a house that is located just below the junction of the road. Fortunately, the tenant was not in the house. But some of the properties were damaged.About two weeks ago, a truck ferrying grocery items also veered off the road near the workshop area.According to the residents, the road is quite narrow and steep with sharp turning making it risky especially for heavy vehicles carrying goods.“I constructed my house in 1992 but the road was constructed in 2009 only. While constructing the road, I had even requested the Dzongkhag officials to construct the road as per the map. But the municipal officials said the road will be convenient,” said Sonam Dorji, the house owner.He said he had submitted several letters to the Dzongkhag Administration for intervention. But he is yet to receive any response.People use the two-kilometre road along Trailing and Jarung Khashor Chorten as an alternate route between the workshop area and Monggar town.“If such accidents continue, it is risky. No one looks into our matter even though we raised our concerns. Dzongkhag officials get irritated when we raise the issue time and again,” added the house owner.Meanwhile, according to the Dzongkhag engineers, the contractor who is carrying out the widening and blacktopping of the road was asked to widen the stretch at the junction.The contractor, on the other hand, said he didn’t receive any information from the Dzongkhag.The Dzongkhag Administration awarded the road widening and blacktopping work in the periphery of Monggar town to a contractor in June 2020. The two-kilometre road stretch falls under the contract package.The project was supposed to complete by the end of last month. However, it was delayed due to the pandemic.Sonam Tshering, MonggarEdited by Tshering Zam","['Sunday evening', '10 pm']",ion to intervene soon,two-kilo
"February 25, 2022",Accident claims two lives,"The bodies of two men were recovered from two separate vehicle accident sites along Damchu-Chhukha bypass. It is not known when the accidents took place. A van and a truck were found below the road. While a body was recovered from the truck yesterday, another body from the van was recovered today.The search and rescue teams are looking for a third man after police received a missing report on Wednesday.According to a family member, the deceased in the van was planning to go to Thimphu after a night at Damchu last Wednesday. Sources say the truck was found while people were searching for the van.",[],e vehicle accident sites along Damchu-Chhukha bypass,no metre height
"August 21, 2012",Two men killed in accident,"Two men were killed on the spot, when the truck they were travelling in went off road in Sarpang Dzongkhag today. The accident occurred at around 11:30 am at Bhandari Dangra, 20 kilometres from Gelephu towards Zhemgang. The body of both the handy boy and the driver have been found. Workers at the site said although the road was partially blocked, the driver forced his way through.",['11:30 am'], around 11:30 am ,kilo
"June 27, 2022",Two boys injured in an electrical flashover accident- Phuentshogling,"Two boys of Chumigthang Middle Secondary School were exposed to a flashover or high voltage electric discharge from a transmission line over Bhaunijhora River at Pasakha in Phuentshogling. While one of the boys escaped with minor injuries, the other boy is still in the hospital. The boys were returning from school on Saturday.The boys were exposed to high voltage electric discharge from the 11 KV transmission line due to the silt deposit on the river bed. The taller boy (14) was knocked unconscious by the high voltage electric discharge. He suffered burns on his hands and legs. The DeSuups and police who were monitoring the nearby roadblocks took the boys to the hospital immediately.The minimum safe distance from the high voltage transmission line to the ground level is six metres. However, debris and sediment deposited in the area during the recent flash floods raised the ground level and reduced the distance to the overhead transmission lines to around two meters at the time of the incident.According to the Bhutan Power Corporation, ground clearance of the transmission line was maintained as per the required standard on Friday. The office however says more debris and sand deposited the next day has increased the ground level again causing the mishap. The management says they are in constant touch with the victim, his family and the doctors. The debris and sand at the accident site have been cleared for now.The police are investigating the incident and once it is complete the case will be forwarded to the court.Ashok Tirwa/Sonam Penjor",[], Pasakha in Phuentshogling,six
"September 7, 2012",One dies and three injured in an accident,A 33-year-old woman died in an accident yesterday. The accident occurred at Migtangkhar about 33 kilometres from Samdrupjongkhar along the Samdrupjongkhar-Trashigang highway.The Bolero the victim was travelling in was on its way to Gomdar and there were six people in the vehicle including the driver and the victim when it fell some 250 metres below the road. Two women and a man were also injured in the accident. They have been admitted at Dewathang hoptital and are said to be in a stable condition.The cause of the accident is being investigated. His Majesty’s kidu office in Samdrupjongkhar offered cash semso to the victim’s family.The deceased was from Wangphu Gewog under Samdrupjongkhar.,[], Migtangkhar about 33 kilometres from Samdrupjongkhar along the Samdrupjongkhar-Trashigang highway,kilo
"September 14, 2012",Accident claims a life,"A 42-year-old man was killed in an accident, just two and half kilometres away from Takti at 6 pm yesterday. He succumbed to major rib injuries. The deceased along with his family members were travelling to Phuentsholing from Basachu in Wangduephodrang, when Hyundai EON they were travelling in fell off the road and fell about 60 metres below the road.Three other passengers were also injured. They are recuperating in the hospital.The Police said they are yet to ascertain the cause of the accident.",['6 pm'], 6 pm yesterday,kilo
"November 22, 2022",Vehicle accident claims two lives,"A truck ferrying Gypsum from Khothakpa to Samdrup Jongkhar veered off the road at Wagombrak between Pema Gatshel and Tselinggor this afternoon killing two men. While the passenger, an Indian national, died on the spot, the driver died after reaching the Pema Gatshel hospital.The 40-year-old driver is from Nanong Gewog, Pema Gatshel. He is survived by four sons and a wife. Meanwhile, the 42-year-old passenger was a construction worker at Khothakpa School construction.The families of the accident victims were informed about the tragedy. Police are investigating the case.Thinley Dorji",['this afternoon'], Wagombrak between Pema G,no metre height
"September 24, 2012",Man dies in accident,"A man in his twenties died on the spot when the Maruti car he was travelling in veered off road and fell about 350 metres below the road in Trongsa. The accident took place about three kilometres away from Trongsa town at 10:30 last night.Two others were injured of which one, an Indian labourer, is said to be in a critical condition. He has been referred to Thimphu hospital.A semso from the Gyalpoi Zimpoen’s office was given to the victim’s family.",['10:30 last night'], 10:30 last night,350
"February 1, 2023",Motor Vehicle accidents increase in 2022 after decrease in past two years,"The number of motor vehicle accidents in the country increased last year compared to the past two years. According to the records with the police, the numbers however are still much lower than the pre-pandemic times. Drink driving remains the leading cause of vehicle crashes in the country.The country recorded 780 motor vehicle accidents last year. This was an increase of 35 cases from 2021 which recorded 745 accidents.There were nearly 80 fatalities from car accidents last year as compared to just over 70 the year before.There was a decline in the accident numbers in 2020 (811) and 2021 (745) compared to 1470 cases reported in 2019. The Traffic Police said the decrease in the numbers during the two years could be due to the covid pandemic and travel restrictions.Last year’s records showed that Chhukha had the highest number of accidents at about 120. Paro recorded the second-highest accident cases followed by Wangdue Phodrang.While drink-driving was the most common cause of accidents, authorities said other causes were over-speeding and vehicles being operated by unlicensed or inexperienced drivers. Road conditions, weather conditions and mechanical failures also led to several accidents.While many districts did not report any hit-and-run cases, Paro had the highest number. In total, 30 hit-and-run cases were reported across the country.Records with the police show that more than half of the accidents involved single vehicles. Nearly 500 cases were single-vehicle accidents, while nearly 200 accidents were from two-vehicle collisions. And there were nearly 40 cases of vehicles hitting pedestrians last year.Kinley DemEdited by Yeshi Gyaltshen",[],alities from car accidents last year as compared to just over 70 the year before,no metre height
"September 28, 2012",Accident at Toeb Menchuna kills a taxi driver,A 35-year-old-man died on the spot after the Wagon R Taxi he was driving fell some 15 feet below the road at Toeb Menchuna. The incident took place at around 11 pm yesterday about 20 kilometers from Wangduephodrang towards Thimphu. The taxi was heading to Thimphu from Wangduephodrang.The driver succumbed to multiple head injuries while the only passenger escaped with minor injuries. The deceased was from Samdrup Jongkhar.Police suspects careless driving to be one of  the causes of the accident.,['around 11 pm'], Toeb Menchuna,accident.
"February 27, 2023",MV accident claims a life,"A 31-year-old woman from Tsirang passed away in Punakha Hospital after the taxi she was travelling in fell 55 metres below the road at Chaksagang along the Thimphu-Lobesa highway, yesterday. The taxi was driven by the deceased’s husband.According to the police, the family members, including two children were heading towards Tsirang from Paro when the incident took place. BBS learnt that the husband and the children are in stable condition.Police suspect loss of control when approaching a sharp turn as the cause of the accident.Changa Dorji, Punakha",[]," Chaksagang along the Thimphu-Lobesa highway, yesterday",55
"October 7, 2012",Girl child killed in an accident,"A five-year-old girl child was killed when a DCM truck hit  her. The accident occurred at around 3 pm today at Changzamtog in Thimphu, near the fly over bridge. One of the witnesses said, the truck’s back tyre hit her while she was crossing the road. She succumbed to severe head injuries.The 33-year-old driver of the DCM is currently under Police custody.",['around 3 pm'], around 3 pm today ,no metre height
"October 8, 2012",58-year-old man dies in truck accident,A 58-year-old man died on the spot when the truck he was travelling in veered off road and fell some 130 metres below Yongla Pokto road at Layme under Trashigang Dzongkhag.The accident occurred at around 2:30 pm yesterday.There were seven passengers in the vehicle. The driver and the six other passengers including two children escaped with minor injuries and are undergoing treatment in Trashigang hospital.The truck was on its way to Lower Layme to collect potatoes to take it to Samdrup Jongkhar for auction.The cause of the accident is yet to be ascertained.,['around 2:30 pm'], Layme under Trashigang Dzongkhag,130
"June 5, 2023",Tragic accident claims five lives – S/Jongkhar,"A tragic vehicle accident has claimed five lives in Samdrup Jongkhar. The accident took place at around 4:30 PM yesterday between Shikpashing and Tokaraong. The rescue team retrieved the bodies today and handed them over to their respective families.The accident occurred when the SUV, carrying three females and two males, veered off the road, falling around 200 meters.Two of the victims were students studying at Samdrup Jongkhar Higher Secondary School and Jigme Namgyel Engineering College. The cause of the accident remains unknown.Kinley Wangchuk",['around 4:30 PM'], around 4:30 PM yesterday between Shikpashing and Tokaraong,Wangchuk
"June 29, 2023",DANTAK takes measures to minimise vehicle accidents on Trashigang-Wamrong Highway,"As part of their commitment to road safety, Project DANTAK is undertaking several initiatives to reduce vehicle accidents along the Trashigang- Wamrong Highway. They are installing 25 kilometres of crash barriers and other precautionary measures in accident-prone areas to make the highway safe for all motorists.The Trashigang police reported 27 vehicle accidents since 2021, with a majority of them occurring between the Khaling and Yonphula areas.One of the main causes of these accidents, apart from mechanical failure is attributed to overspeeding, sleep driving and using mobile phones.Furthermore, the presence of free-roaming cattle along the highway, particularly during foggy weather, poses an additional risk.“Sometimes I often observe drivers using only one hand to drive while holding a mobile phone with the other hand. However, I cannot ascertain the exact cause of these vehicle accidents,” said Tshewang Tenzin, a resident of Khaling Gewog.“In summer, when it rains, the road becomes foggy and visibility is poor, leading to accidents. To address this issue, I would suggest installing a flickering lighting system specifically in accident-prone areas rather than in the town. Such a system would be beneficial. Additionally, there is a need for clear white road markings to improve visibility and minimise accidents,” said Tshering Dendup, a motorist from Yangnyer Gewog.“Late-night travel can sometimes make drivers sleepy, increasing the risk of accidents. However, having crash barriers can provide protection. If a driver unintentionally hits a crash barrier, it serves as a warning and helps to prevent accidents,” said Jigme, another motorist from Chaskhar village in Monggar.The DANTAK officials added that they are working closely with the Bhutanese government to make the eastern highway a ‘Zero Fatality Corridor’. And a budget of Nu 250 M has been allocated for this purpose. A two-kilometre crash barrier is completely out of the planned 25 kilometres.Additionally, they will install reflective and solar delineators, cat eyes and thermo-reflective paint for road markings, particularly in foggy areas.The project commenced earlier this year and is expected to be completed by mid-2024.Sonam Darjay, TrashigangEdited by Sonam Pem",[],ives to reduce vehicle accidents along the Trashigang- Wamrong Highway,kilo
"July 17, 2023",Road Safety and Transport Regulations to hold pedestrians liable for accidents in urban expressways,"If you are hit by a passing car while crossing a road without a zebra crossing in an urban expressway, you are not just a victim but will now also be liable for penalties. This is according to the Road Safety and Transport Regulations 2021 which the Traffic Division of the police plans to implement soon in light of the increasing cases of pedestrian accidents. The authorities fear it will keep increasing posing risks to more lives if they do not start implementing the regulations. Previously, the authorities penalised only the drivers in such incidences.While some drivers in Thimphu accuse pedestrians of being careless while crossing the roads, others said hedges planted on dividers along the expressway are also leading to such accidents.“There is an increasing number of accidents in Thimphu. I think it is because the people are not using the zebra crossings, most of the time. When they suddenly appear from nowhere, the drivers lose control of their car resulting in accidents,” said Thinley Dorji, a driver.“There are hedges planted on the road dividers along the expressway in Thimphu Thromde. This is blocking the vision of the drivers. We cannot see clearly when children try to cross the road through the hedges,” said Phurpa Wangdi, another driver.The Traffic Division said they will now start penalising offenders based on the Road Safety and Transport Regulations 2021. Chapter six of the regulation states that a person driving a motor vehicle shall not be liable for the death or injury of a pedestrian caused by an accident due to the carelessness of the pedestrian.The number of pedestrian accidents along the expressway in Thimphu alone reached around 18, so far this year. Of them, three occurred on zebra crossings.However, pedestrians have their sides of the story to share. Some say that the drivers speed up even on zebra crossings while others added that the markings of zebra crossings in some stretches are worn out and can barely be seen.“It is obvious that many accidents are occurring at Babesa. The zebra crossings in the area are very far from each other. Especially, here where the bus stops, there is no zebra crossing and we have to run to cross the road,” said Kencho Gyeltshen, a resident.“Although we use zebra crossings, sometimes the cars come on full speed. At times, they do not stop the car even when we are walking on the zebra crossing. Forget about the fear of accidents when we do not use the zebra crossings, it is dangerous for us even when we use the zebra crossings,” said Chimi Seldon, another resident.Meanwhile, the Thimphu Thromde says that the zebra crossings are repainted whenever required but they start fading due to continuous vehicle movement and rain.They also added that the hedges should not be a barrier for the drivers as they are trimmed at a height of one to two feet for visibility.The traffic division plans to create awareness among the public regarding the regulation before implementation. They added the rule applies to all pedestrians regardless of whether it involves a pedestrian accident or not.Namgay DemaEdited by Phub Gyem",[],ions 2021 which the Traffic Division of the police plans to implement soon in light of the increasing cases of pedestrian accidents,no metre height
"November 6, 2012",Two labourers killed in accident,"Two non-national labourers were killed on the spot when the Tata Winger they were travelling in, fell 70 feet off the road at around 6 a.m., this morning.The accident took place at Labi near Tamala, about eight kilometres away from Tingtibi, towards Gelephu.There were altogether 11 passengers, including the driver in the vehicle. While two of the passengers were seriously injured and admitted in Gelephu Hospital, others escaped with minor injuries.The cause of the accident is still unknown.","['around 6 a.m.', 'this morning']",ional labourers were killed on the spot when the T,kilo
"November 16, 2012",Truck driver dies in accident,A 24-year-old man from Tsirang died on the spot after a tripper truck he was driving fell 200 feet below the road at Jalakhu. The area is about 13 kilometres from Punakha towards Gasa under Kabjisa Gewog. The accident took place at around 11:30 Wednesday night. The man succumbed to multiple head injuries.Police suspects careless driving to be the cause of accident.,['around 11:30 Wednesday night'], Jalakhu,kilo
"November 20, 2012",Man dies in accident,A 35-year-old man from Punakha died on the way to Trongsa hospital yesterday night. The man had met with an accident at about 20 kilometres away from Trongsa town towards Zhemgang.The accident occurred at around 10:15 pm when the Tucson SUV he was driving fell about 80 feet below the road.The deceased is an employee of Trongsa dzongkhag administration. He is survived by a child and his wife.The cause of the accident is still unknown.,"['yesterday night', 'around 10:15 pm']", about 20 kilometres away from Trongsa town towards Zhemgang,kilo
"December 7, 2012",Life after accident,"In his late thirties, Kinley was once the sole bread-earner of the family. A fatal car accident, two years ago, not only left him paralysed but destroyed the whole family in a way. He is undergoing treatment at the National Referral Hospital.Kinley’s wife Yangzom has been attending to her husband’s need since the day to accident. They have been married for 18 months.There is no one to look after their farm back home in Sephu village under Wangduephodrang. “Our house is locked all the time. I even brought my daughter with me here in the hospital as there is no one to look after her,” said Kinley.
[pullquote]
…This is not my struggle alone. It has become my family’s struggle.”Kinley
Driver[/pullquote]
She stays in Thimphu with her husband’s relative. The little saving they had is all gone. “I am worried how I will be able to educate my two children.”Yangzom says all she does these days is attend to her husband’s needs.Being confined within the four walls of the hospital, unable to move is frustrating for Kinley.  “There is nothing I can do. This is not my struggle alone. It has become my family’s struggle.” He believes it is his past deeds that brought him the misfortune. “We don’t even have money to perform religious rituals.”He says it is always pays to be extra cautious while driving and travelling. “Accidents such as mine will change your life for worst and for forever,” says Kinley.Apart from the trauma the families of people involved in accidents have to go through, a huge chuck of resources from the government’s coffer has to be channeled for the treatment of such patients.According to the record maintained by the National Referral Hospital, in a year, there are over a thousand patients, related to road accidents, admitted in the hospital on an average.",[],"e thirties, Kinley was once the sole bread-earner of the family",no metre height
"December 10, 2012",Three die in accident,"A 37-year-old man died on the spot when the Jumbo truck he was driving veered off the road yesterday. The incident took place at 1 p.m. in between Wangkha and Chhukha Check post. The other two passengers aged 22 and 25 also succumbed to injuries. While one of them died at Chhukha BHU yesterday evening, the other died this morning at the National referral hospital.The Police are investigating the cause of the accident.Meanwhile, the Dzongkhag Kidu Office at Thimphu on behalf of the Office of Gyalpoi Zimpon, granted His Majesty’s Semso of Nu.10,000 each to the relatives of the deceased today.","['1 p.m.', 'evening', 'this morning']", 1 p,no metre height
"December 21, 2012",Three die in accident,"Three people died in an accident in Monggar. A five-year-old girl child died on the spot while the one-month-old girl child died on the way to the hospital. The driver, who was referred to Guwahati Hospital, succumbed to severe head injuries this morning.The accident happened yesterday at about a kilometer away from the Kengkhar Gewog Centre. The vehicle went off the road and fell about 100 metres below.Meanwhile, two other passengers are still undergoing treatment at Monggar Regional referral Hospital. The doctors say they are in stable condition.","['this morning', 'about a kilometer']","i Hospital, succumbed to severe head injuries this morning",100
"January 7, 2013",Man die in accident,A 25-year-old man died on the spot after the Maruti car he was driving went off the road at Lam Pelri. The accident took place yesterday morning at around 8 am.The car fell some 150 metre below the road. The car carrying two passengers were travelling from Chapcha to Dagana.Both the passengers were referred to the National Referral hospital in Thimphu with critical conditions.The deceased is from Damchu under Chapcha gewog in Chukha. Police suspect skidding on ice to have caused the accident.,"['morning', '8 am']", Lam Pelri,150
"January 14, 2013",Tipper driver dies in an accident,"A 30-year-old driver died on the spot, when the tipper truck he was driving, veered off and fell some 250 metres below the road Sunday morning. The incident occurred at about 36 kilometre away from Trongsa towards Zhemgang. The deceased from Jharkhand in India was working for Jaiprakash Associates.According to the medical report the man succumbed to severe head injuries.",[], about 36 kilometre away from Trongsa towards Zhemgang,250
"January 26, 2013",Three-month-old boy dies in accident,"A three-month-old boy died on the spot when an alto car he was in went off the road yesterday morning. The accident took place at Nangbi in Monggar.Two other adult passengers are said to be in a critical condition. Two more passengers are in a stable condition, according to our reporter Kuenga Tashi.Monggar Police says the cause of the accident seems to be a mechanical failure.",['morning'], Nangbi in Monggar,no metre height
"August 15, 2013",4 killed in two separate accidents,"A man and a woman, died on the spot when the vehicle they were travelling in went off the road at Chuzhi Zampa under Nyishog Gewog, Wangdue Phodrang yesterday.An old model landcruiser fell 2,000 metres below the road.  The driver who is a monk at Chitokha Lhakhang is critically injured and has been referred to the referral hospital in Thimphu.The families of the deceased have been informed about the road fatality, and the police are yet to establish the cause of the fatality.Meanwhile two men, 19 and 21, died on the way to hospital after they were hit by a falling boulder in Tshiadang village under Nangkhor Gewog, Zhemgang yesterday.Incident occurred around 12:30 pm while they were drilling rock for the ongoing farm road construction towards Tshiadang at Nyakhar. Both were working as rock drillers for the farm road construction. Both are from Nyakhar village.Eyewitnesses said they were hit on head and chests.Meanwhile, on behalf of His Majesty’s Kidu office in Zhemgang semsos were granted to the victims’ families.",['12:30 pm']," Chuzhi Zampa under Nyishog Gewog, Wangdue Phodrang yesterday","2,000"
"October 5, 2013",Six sustain minor injuries in an accident,"Of the 43 passengers, six sustained minor injuries after the bus they were travelling in went off the road. The accident occurred at 9:30am today when the Punatsangchhu Hydroelectric Project’s bus was swerving at Hongtsho highway.The injured passengers have been referred to the Thimphu National Referral Hospital. They are Indian labourers working at Punatsangchhu Hydropower project. They were on the way from Wangdue Phodrang to Phuentshogling.",['9:30am today'], 9:30am today when the Pun,no metre height
"October 8, 2013",Two die in accident,"A 26-year-old driver and a 27-year-old passenger died when the Ambulance they were in fell 200 metres below the road at about 10:15 am, yesterday.The ambulance had been headed from Bartsham towards Trashigang for maintenance. There was another passenger who was critically injured and is at the Monggar Referral Hospital.",['about 10:15 am']," about 10:15 am, yesterday",200
"January 1, 2015",Family of three dies in car accident,"A family of three; mother, father and a son, died on the spot when the Maruti van, they were travelling in, veered off the road in Trongsa, today. The family is from Narang Gewog in Monggar.The accident happened at around 10:30 AM today. They were travelling to Wangduephodrang from Monggar and had halted in Trongsa for the night.Apart from the family, there were two others in the car. They had taken a lift from Trongsa. Both of them are in a stable condition.The Gyalpoi Zimpon’s office in Trongsa offered has a semso of Nu.10, 000 to the family members of the deceased.","['around 10:30 AM today', 'the night']","her and a son, died on the spot when the Maruti van, they were travelling in, veered off the road in Trongsa, today",no metre height
"January 4, 2015",Two couples die in accident,"Two couples died in an accident at Yangneer in Trashigang, on Friday. The Bolero car they were travelling in fell 400 metres below the road.Three of them died on the spot and an eight-month pregnant woman died in Trashigang hospital.The couples were on their way to Yangneer from Nganglam.The cause of the accident is not known.",[]," Yangneer in Trashigang, on Friday",400
"January 26, 2014",Three die in accident,"One died on the spot and two others succumbed to injuries after the Maruti van they were traveling in plunged some 80 metres below the road and caught fire. The accident occurred near Tagma village in Zhemgang at around 10 in the morning, yesterday. Tagma is about nine kilometres away from Tingtibi town.There were five people traveling in the van. The driver and one more passenger have been referred to the Gelegphu Referral hospital from Yabilaptsha. They were rescued by the RBP team of Tingtibi.The cause of accident is being investigated.",['10 in the morning']," around 10 in the morning, yesterday",80
